affiliates,course_name,year,level,num_weeks,duration,completed,course_url,course_summary,course_detailContent
Google,Developing Android Apps,,intermediate,0.0,60 Hours,,https://www.udacity.com/course/new-android-fundamentals--ud851,"Build a cloud-connected Android app, and learn the tools, principles, and best practices of mobile and Android development that you'll apply to your own projects.","Android Development, Layouts, Intents, UI"
,How to Install Android Studio,,beginner,0.0,1 Day,,https://www.udacity.com/course/how-to-install-android-studio--ud808,Participate in this short tutorial to install Android Studio on your computer and set up a new project using the program's Project Wizard.,"Android, Android Studio, Java"
,Writing READMEs,,beginner,0.0,3 Days,,https://www.udacity.com/course/writing-readmes--ud777,Documentation is an important part of the development process. Learn to write READMEs using Markdown so your code can be used by other humans!,"README, Markdown, Making code easier to read"
Google,Firebase Analytics: iOS,,intermediate,0.0,1 Day,,https://www.udacity.com/course/firebase-analytics-ios--ud353,"Learn how to grow an app's user base using Firebase Analytics, a free and unlimited analytics solution","Android Development, Firebase Analytics, Firebase Crash Reporting, Firebase Remote Config, Firebase Dynamic Links"
,Intro to jQuery,,intermediate,0.0,2 Days,,https://www.udacity.com/course/intro-to-jquery--ud245,Learn how to access and modify the DOM with ease using jQuery!,"jQuery, DOM Structure, Reading jQuery documentation, Modify HTML attributes and content"
Buddybuild,Continuous Integration and Deployment,,intermediate,0.0,2 Days,,https://www.udacity.com/course/continuous-integration-and-deployment--ud1030,"In this course, you'll learn how to improve the mobile development process by using continuous integration and deployment.","Continuous Integration, BuddyBuild, Automated Testing"
,Swift for Beginners,,beginner,0.0,7 Days,,https://www.udacity.com/course/swift-for-beginners--ud1022,"Learn Swift, Apple's programming language for building iOS applications. Start with the basics and work your way towards completing sets of challenges in Swift.","Variables and Constants, Strings, Control Flow, Functions"
,AutoLayout,,intermediate,0.0,6 Days,,https://www.udacity.com/course/auto-layout--ud1026,"With this course, you will learn about AutoLayout and how to use stack views and constraints to create pixel-perfect UIs.","Design, UI, Stack Views, Constraints"
,Shell Workshop,,beginner,0.0,1 Day,,https://www.udacity.com/course/shell-workshop--ud206,"This course is intended to get you up to speed on the shell — using a terminal, managing files and directories, and running command-line programs.",Unix-style command-line environment
,Swift for Developers,,beginner,0.0,7 Days,,https://www.udacity.com/course/swift-for-developers--ud1025,Get a quick practical introduction to Swift programming basics and build your first iOS app!,"Variables and Constants, Strings, Control Flow, Functions"
Google,Firebase in a Weekend: Android,,intermediate,0.0,2 Days,,https://www.udacity.com/course/firebase-in-a-weekend-by-google-android--ud0352,This course will teach you when and why to choose Firebase as a backend for your Android application.,Android Development
Google,Firebase Analytics: Android,,intermediate,0.0,2 Days,,https://www.udacity.com/course/firebase-analytics-android--ud354,"Learn how to grow an app's user base using Firebase Analytics, a free and unlimited analytics solution","Android Development, Firebase, Analytics"
Google,Firebase in a Weekend: iOS,,intermediate,0.0,2 Days,,https://www.udacity.com/course/firebase-in-a-weekend-by-google-ios--ud0351,This course will teach you when and why to choose Firebase as a backend for your iOS application.,Android Development
,What is Programming?,,beginner,0.0,1 Day,,https://www.udacity.com/course/what-is-programming--ud994,This course is your first step towards a career in programming.,
Insight,Spark,,intermediate,0.0,10 Hours,,https://www.udacity.com/course/learn-spark-at-udacity--ud2002,Master how to work with big data and build machine learning models at scale using Spark!,"Spark, SparkSQL, Spark Dataframes, Data Wrangling, Machine Learning"
Upwork,Managing Remote Teams with Upwork,,beginner,0.0,1 Hour,,https://www.udacity.com/course/managing-remote-teams-with-upwork--ud942,Bring your remote-teams to the next level with hands-on skills to manage your remote workforce effectively.,"Team Management, Workforce Training, Business Strategy, Agile Management, Remote Work"
,iOS Design Patterns,,intermediate,0.0,2 Days,,https://www.udacity.com/course/ios-design-patterns--ud1029,"In this course, you'll explore iOS design patterns — the practical and battle-tested solutions to common problems that are used everyday by developers.",
,Craft Your Cover Letter,,beginner,0.0,1 Day,,https://www.udacity.com/course/craft-your-cover-letter--ud244,Write a compelling narrative that showcases your value to the company.,"Creating a narrative, Targeting your pitch, Communicating value, Career Advancement"
Grow With Google,Refresh Your Resume,,beginner,0.0,2 Days,,https://www.udacity.com/course/refresh-your-resume--ud243,Create a targeted resume that gets the attention of recruiters and lands you an interview in tech.,"Resume writing, Company targeting, Storytelling, Career Advancement"
,Full-Stack Interview Prep,,intermediate,1.0,1 Week,,https://www.udacity.com/course/full-stack-interview-prep--ud252,Answer common full stack and web security interview questions with confidence and poise.,"Interview practice, Common FS Questions, Whiteboarding, Career Advancement"
,Front-End Interview Prep,,intermediate,1.0,1 Week,,https://www.udacity.com/course/front-end-interview-prep--ud250,Answer front-end technical and behavioral interview questions with confidence and poise.,"Interview questions, Common FE Questions, Whiteboarding, Career Advancement"
,Machine Learning Interview Preparation,,intermediate,1.0,1 Week,,https://www.udacity.com/course/machine-learning-interview-prep--ud1001,"In this course, you’ll learn exactly what to expect during a machine learning interview.","Interview practice, Machine Learning, Career Advancement"
Grow With Google,Android Interview Prep,,intermediate,1.0,1 Week,,https://www.udacity.com/course/android-interview-prep--ud241,Learn how to respond to common Android and mobile development interview questions.,"Interview practice, Common Android Questions, Whiteboarding"
,Data Science Interview Prep,2015.0,intermediate,1.0,1 Week,yes,https://www.udacity.com/course/data-science-interview-prep--ud944,"Prepare for data science interviews by practicing data analysis, machine learning, and data structure and algorithms questions.","Interview practice, Common Data Questions, Data Structures, Career Advancement"
Grow With Google,Strengthen Your LinkedIn Network & Brand,,beginner,1.0,1 Week,,https://www.udacity.com/course/strengthen-your-linkedin-network-and-brand--ud242,Learn how to excel at networking both in-person and on LinkedIn.,"Personal branding, LinkedIn, Networking, Career Advancement"
